,surname,forename,gender,id,balance,age,start,profession,online,single num,weight_num,null,single cat,weight_cat
253,Tacket,Berry,M,CU_7819759,302.48,66.041,11-21-18,Senior Sales Associate,0,1.0,1,,A,A
254,Manka,Magnus ,M,CU_9531890,155.88,24.441,06-14-18,Sales Associate,0,1.0,1,,,A
255,Peale,Alyssia ,F,CU_3357170,192.13,35.237,12-26-18,Office Assistant II,0,,1,,,A
256,Sandridge,Isidro,M,CU_7168500,212.27,64.069,12-24-18,,1,1.0,1,,A,A
257,Campeau,Milan ,M,CU_2658802,171.99,43.201,03-03-18,Research Assistant III,0,1.0,1,,A,A
258,Larabell,Chas,M,CU_9832951,96.4,31.408,08-13-18,Sales Associate,0,1.0,1,,A,A
259,Winterroth,Helen,F,CU_6793719,392.68,62.766,07-10-18,Senior Editor,1,1.0,1,,A,A
260,Palla,Mabel,F,CU_3500537,120.42,,12-24-18,Senior Sales Associate,0,1.0,1,,,A
261,Gilday,Jonathon,M,CU_5767671,123.26,45.782,07-11-18,,0,1.0,1,,A,A
262,Levers,Zara ,F,CU_1532414,159.85,,04-14-18,Senior Sales Associate,0,1.0,1,,A,A
263,Webre,Scottie,M,CU_4014592,244.42,,03-07-18,,0,,1,,,A
264,Kuczkowski,Deniz ,M,CU_6646275,401.01,51.167,11-25-18,Assistant Professor,0,,1,,A,A
265,Lue,Sophia,F,CU_8999433,41.9,58.456,07-05-18,Data Coordiator,1,1.0,1,,,A
266,Raynes,Lynda,F,CU_6334985,125.23,,06-01-18,Analyst Programmer,0,1.0,1,,A,A
267,Mcnutt,Lula,F,CU_3879433,165.3,69.595,08-29-18,Junior Executive,1,1.0,1,,A,A
268,Lautman,Madiha ,F,CU_7741964,247.52,59.977,04-15-18,Analyst Programmer,1,1.0,1,,A,A
269,Lachappelle,Mysha ,F,CU_6181389,191.64,59.114,01-01-18,Junior Executive,0,1.0,1,,,A
270,Casuse,Antony,M,CU_8974863,134.91,47.306,10-30-18,,0,1.0,1,,A,A
271,Hedtke,Ryley ,M,CU_7426576,152.64,63.084,02-08-18,Senior Sales Associate,0,,1,,A,A
272,Agresta,Yasin ,M,CU_5364241,181.73,,01-08-18,Analyst Programmer,0,1.0,1,,A,A
273,Ferroni,Patryk ,M,CU_2376214,90.15,31.375,12-02-18,Human Resources Assistant IV,0,1.0,1,,A,A
274,Curz,Tyler-James ,M,CU_8028696,170.24,38.366,01-19-18,Help Desk Operator,0,1.0,1,,,A
275,Blanscet,Isa ,M,CU_1321500,174.9,62.68,03-06-18,Senior Sales Associate,0,,1,,,A
276,Nolen,Genaro,M,CU_7856669,44.17,,04-19-18,Senior Editor,0,1.0,1,,A,A
277,Lattner,Wilda,F,CU_1374749,142.82,23.291,05-27-18,Senior Sales Associate,0,1.0,1,,A,A
278,Delozier,Minnie,F,CU_5767711,154.76,46.414,07-02-18,Senior Sales Associate,0,1.0,1,,,A
279,Wilbourne,Dorian ,M,CU_3226143,117.64,59.622,03-13-18,Senior Sales Associate,0,,1,,,A
280,Comparoni,Tommie ,M,CU_8120867,92.32,,10-25-18,Assistant Professor,0,1.0,1,,,A
281,Staehle,Melanie ,F,CU_7541284,124.6,56.671,01-03-18,Sales Associate,0,1.0,1,,A,A
282,Neun,Melisa ,F,CU_9884204,80.52,56.288,07-24-18,Research Assistant III,0,,1,,A,A
283,Barriere,Alba,F,CU_5841453,353.05,37.983,02-10-18,Human Resources Manager,0,1.0,1,,,A
284,Catalfamo,Maximillian ,M,CU_9998896,458.97,56.984,07-12-18,Human Resources Assistant IV,0,1.0,1,,,A
285,Hammerschmidt,Barrett,M,CU_7338544,273.29,59.042,08-04-18,Senior Sales Associate,0,1.0,1,,A,A
286,Fusha,Ivan,M,CU_1288754,162.58,52.724,03-11-18,Human Resources Assistant IV,0,,1,,A,A
287,Gorgone,Floyd,M,CU_1925682,107.97,56.716,05-10-18,Office Assistant II,0,1.0,2,,A,C
288,Rabern,Hafsa ,F,CU_3875381,96.87,54.774,07-05-18,Director of Sales,0,1.0,1,,A,A
289,Golub,Preston,M,CU_7094837,221.69,58.485,05-01-18,Junior Executive,0,,1,,,A
290,Heydt,Leonel,M,CU_1911353,109.97,25.564,12-11-18,Senior Sales Associate,1,1.0,1,,A,A
291,Flud,Noah ,M,CU_1157691,138.94,28.575,05-24-18,Assistant Professor,0,,1,,,A
292,Hayworth,Kristi,F,CU_3076668,317.31,77.7,04-13-18,Office Assistant II,1,1.0,1,,A,A
293,Clendenon,Ernie,M,CU_4545087,182.73,,05-17-18,Office Assistant II,1,,1,,A,A
294,Pittman,Marla,F,CU_8751681,131.61,59.253,12-17-18,Assistant Professor,1,1.0,1,,A,A
295,Ven,Amar ,M,CU_2075201,122.74,,01-12-18,Senior Editor,0,1.0,1,,A,A
296,Ramy,Hugh,M,CU_6974020,165.29,48.5,04-07-18,,0,1.0,1,,A,A
297,Everest,Myron,M,CU_2982469,123.99,29.46,08-25-18,Office Assistant II,1,1.0,1,,A,A
298,Haxton,Alfie-Lee ,M,CU_7897668,162.42,,05-17-18,Help Desk Operator,0,1.0,1,,A,A
299,Gajardo,Bo ,F,CU_7420487,155.0,62.469,04-01-18,Senior Sales Associate,0,1.0,1,,,A
300,Neumeier,Zayaan ,M,CU_3725895,117.88,35.006,06-15-18,Senior Sales Associate,0,1.0,1,,,A
301,Brozowski,Rosemary ,F,CU_6752839,379.07,71.876,01-14-18,Sales Associate,0,1.0,1,,A,A
302,Gunyan,Debora,F,CU_7346762,138.81,57.867,09-26-18,Senior Editor,1,1.0,1,,,A
303,Gossling,Brant,M,CU_1034827,141.45,,08-22-18,,0,1.0,1,,A,A
304,Mcfeely,Isla ,F,CU_4866636,42.82,61.476,02-03-18,,0,1.0,1,,,A
305,Gaukroger,Trenton,M,CU_2550347,164.27,35.467,05-05-18,Senior Editor,0,1.0,1,,,A
306,Pedrosa,Bryony ,F,CU_3922511,133.1,40.744,11-06-18,Director of Sales,0,1.0,1,,A,A
307,Nickson,Jaydon ,M,CU_8245841,150.3,46.552,07-24-18,Senior Editor,0,1.0,1,,,A
308,Likes,Matthew ,M,CU_3631700,208.6,57.323,03-15-18,,1,1.0,1,,A,A
309,Shelman,Jorge ,M,CU_9091671,195.55,64.742,04-27-18,Senior Editor,0,1.0,1,,A,A
310,Leemow,Daisy,F,CU_5581400,160.11,30.201,04-28-18,Junior Executive,0,1.0,1,,A,A
311,Barnwell,Jaclyn,F,CU_5093979,126.79,55.927,08-19-18,VP Product Management,0,1.0,1,,A,A
312,Vandyke,Calum ,M,CU_5139040,135.94,56.07,05-14-18,Office Assistant II,1,,1,,,A
313,Derivan,Sofia ,F,CU_7559777,188.38,63.184,09-12-18,Junior Executive,0,1.0,1,,,A
314,Romash,Seth,M,CU_9108068,137.93,,08-07-18,Office Assistant II,0,1.0,1,,,A
315,Eichner,Rhonda,F,CU_5814886,244.08,26.525,10-14-18,Help Desk Operator,0,1.0,1,,,A
316,Ghibaudy,Antonio,M,CU_3707495,435.99,31.724,01-19-18,Sales Associate,0,,1,,,A
317,Rotter,Patrice,F,CU_4815464,167.81,23.587,09-28-18,Analyst Programmer,0,1.0,1,,A,A
318,Toulouse,Arthur ,M,CU_4727400,119.93,34.947,10-17-18,,0,1.0,1,,A,A
319,Spisak,Hasan ,M,CU_5632615,257.45,25.684,02-28-18,Senior Editor,0,1.0,1,,A,A
320,Pelkey,Kianna ,F,CU_5239412,302.33,56.279,01-26-18,Senior Sales Associate,1,1.0,1,,,A
321,Braddy,Humza ,M,CU_1763958,149.3,37.936,04-17-18,Human Resources Assistant IV,1,,1,,A,A
322,Tuzzolo,Darrell,M,CU_2159222,200.54,,06-17-18,Senior Sales Associate,0,,1,,A,A
323,Alhameed,Charlotte ,F,CU_2034296,121.64,,10-29-18,Human Resources Manager,0,1.0,1,,,A
324,Laregina,Eisa ,M,CU_5450361,119.76,36.351,07-23-18,Senior Editor,0,1.0,1,,A,A
325,Thongdy,Keziah ,F,CU_2810488,557.74,63.634,02-25-18,Senior Editor,1,1.0,1,,A,A
326,Velega,Jimmy ,M,CU_7582330,207.62,64.194,05-28-18,Research Assistant III,0,,1,,,A
327,Sleet,Jospeh,M,CU_5216892,120.51,32.741,06-12-18,Senior Sales Associate,0,1.0,1,,,A
328,Lisiecki,Elaine,F,CU_1446520,194.09,,02-07-18,Research Assistant III,1,1.0,1,,A,A
329,Owca,Vivian,F,CU_7103095,142.02,57.868,06-03-18,Sales Associate,1,,1,,,A
330,Goodsell,Salman ,M,CU_8899199,149.92,63.97,10-14-18,Senior Sales Associate,0,1.0,1,,A,A
331,Frizzle,Stanton,M,CU_9417344,234.38,,01-22-18,,0,1.0,1,,,A
332,Klice,Eoin ,M,CU_6173308,202.97,24.936,06-09-18,Senior Sales Associate,0,,1,,A,A
333,Adema,Willis,M,CU_1733250,172.05,35.565,08-10-18,Director of Sales,0,1.0,1,,,A
334,Mcloy,Remy ,M,CU_4301444,153.98,41.635,03-01-18,Help Desk Operator,0,1.0,1,,A,A
335,Shearer,Rishi ,M,CU_4682373,125.74,51.656,03-13-18,Office Assistant II,0,1.0,1,,,A
336,Canclini,Kaya ,M,CU_6718088,37.35,39.954,03-19-18,,0,1.0,1,,A,A
337,Pfister,Hector ,M,CU_6732425,176.46,,06-01-18,Help Desk Operator,0,,1,,A,A
338,Meffert,Wesley,M,CU_7848587,336.94,,02-17-18,,0,1.0,1,,,A
339,Grassia,Cecily ,F,CU_9904783,93.18,30.832,08-24-18,Research Assistant III,0,1.0,1,,A,A
340,Horns,Emme ,F,CU_4555414,83.56,57.323,09-03-18,Senior Editor,0,1.0,1,,A,A
341,Troxler,Sterling,M,CU_7496342,67.14,28.714,09-09-18,Senior Sales Associate,0,,1,,,A
342,Calixte,Pearl ,F,CU_1964699,138.23,,06-19-18,Senior Sales Associate,0,1.0,1,,,A
343,Crain,Sonia ,F,CU_8704669,225.61,,01-31-18,Office Assistant II,0,1.0,1,,,A
344,Maras,Darcy ,M,CU_1532577,185.12,36.151,07-26-18,Office Assistant II,0,1.0,1,,,A
345,Lower,Cameron ,M,CU_9321123,168.86,44.293,08-25-18,Senior Editor,0,,1,,A,A
346,Meiler,Alana ,F,CU_7635620,173.96,55.442,10-09-18,Analyst Programmer,0,1.0,1,,A,A
347,Huschle,Corey,M,CU_3543724,148.39,37.652,01-14-18,Senior Editor,1,1.0,1,,,A
348,Puddy,Marnie ,F,CU_6400694,175.55,50.384,05-01-18,Data Coordiator,0,,1,,A,A
349,Driscol,Norman,M,CU_4661946,174.48,61.64,08-03-18,Senior Sales Associate,0,1.0,1,,,A
350,Moore,Tessa,F,CU_9153211,219.16,46.263,06-10-18,Analyst Programmer,1,1.0,1,,A,A
351,Matera,Wilton,M,CU_7398081,514.59,45.196,12-11-18,Help Desk Operator,1,,1,,A,A
352,Helmstetler,Mercy ,F,CU_7842498,138.19,50.065,12-20-18,Help Desk Operator,0,1.0,1,,A,A
353,Sweeden,Kai ,M,CU_4797123,154.99,22.428,01-16-18,Senior Sales Associate,0,1.0,1,,,A
354,Mokler,Stacie,F,CU_8428228,149.26,33.135,03-04-18,Senior Editor,0,1.0,1,,A,A
355,Angeline,Cherry ,F,CU_8370884,145.53,56.199,08-14-18,Office Assistant II,1,,1,,,A
356,Distefano,Lillie-Mae ,F,CU_2192069,330.24,36.222,12-21-18,Office Assistant II,0,1.0,1,,A,A
357,Kuns,Lou,M,CU_3840713,293.71,54.374,11-13-18,Office Assistant II,0,1.0,1,,,A
358,Burkhalter,Selina ,F,CU_8383178,164.74,,03-10-18,Office Assistant II,0,,1,,A,A
359,Stohl,Jaime,F,CU_7639754,143.37,,03-14-18,Help Desk Operator,1,,1,,A,A
360,Milum,Yusra ,F,CU_8458953,143.73,49.983,07-16-18,,0,1.0,1,,A,A
361,Daquila,Lucinda,F,CU_1229518,130.07,59.874,07-03-18,Research Assistant III,0,1.0,1,,A,A
362,Montalbo,Lance,M,CU_8471247,134.46,,08-03-18,Help Desk Operator,1,1.0,1,,A,A
363,Hattub,Louis ,M,CU_6365902,122.75,57.743,08-27-18,Senior Editor,0,,1,,A,A
364,Hilyer,Andrea,M,CU_6615762,155.19,,10-09-18,Senior Sales Associate,0,1.0,1,,,A
365,Vlashi,Denzel ,M,CU_5139155,120.24,25.428,03-23-18,Senior Editor,0,,1,,A,A
366,Bretana,Bruce ,M,CU_9380573,171.63,37.11,10-02-18,Assistant Professor,1,1.0,1,,A,A
367,Elfenbein,Rafe ,M,CU_2736861,137.15,32.075,03-07-18,Senior Sales Associate,0,1.0,1,,,A
368,Vallero,Willie,F,CU_6406882,130.74,36.699,11-27-18,Help Desk Operator,1,1.0,1,,A,A
369,Culwell,Paddy ,M,CU_4629221,112.56,63.163,05-28-18,Senior Sales Associate,0,,1,,A,A
370,Bolman,Shirley,F,CU_1829606,215.12,,03-18-18,Assistant Professor,1,1.0,1,,A,A
371,Maltais,Dee,F,CU_7979750,162.75,56.757,07-17-18,Human Resources Assistant IV,0,,1,,A,A
372,Sandona,Gordon,M,CU_9972454,192.74,55.499,05-20-18,Help Desk Operator,0,1.0,1,,,A
373,Carlis,Riley,M,CU_9212647,53.76,42.404,09-21-18,Senior Sales Associate,0,1.0,1,,,A
374,Wolff,Hung,M,CU_5536490,31.09,66.371,12-18-18,Office Assistant II,1,1.0,1,,A,A
375,Wengren,Nicola,F,CU_5624555,153.79,34.23,03-31-18,Senior Editor,0,1.0,1,,A,A
376,Billot,Edward ,M,CU_2079473,129.52,55.64,01-17-18,Senior Sales Associate,0,1.0,1,,,A
377,Artley,Sammy,M,CU_6189814,140.27,43.904,12-18-18,Human Resources Assistant IV,1,,1,,,A
378,Polidore,Annie ,F,CU_9446136,239.34,35.149,08-21-18,,0,1.0,1,,A,A
379,Rastelli,Tory,M,CU_1321721,128.58,38.558,11-04-18,Senior Editor,0,1.0,1,,A,A
380,Kiehl,Antoni ,M,CU_9673466,120.55,51.086,10-22-18,Senior Editor,0,1.0,1,,,A
381,Magin,Aman ,M,CU_2243320,179.85,63.105,06-26-18,Senior Editor,0,,1,,,A
382,Zukowsky,Lacey,F,CU_2142969,119.99,62.597,05-27-18,Office Assistant II,0,1.0,1,,,A
383,Otterson,Abbas ,M,CU_5096190,207.49,59.438,01-14-18,VP Product Management,0,,1,,,A
384,Rinderer,Mikayla ,F,CU_9396990,184.19,68.135,03-07-18,Senior Editor,1,1.0,1,,,A
385,Beermann,Victoria ,F,CU_9530112,145.03,38.173,08-24-18,Senior Editor,0,1.0,1,,,A
386,Sauerbry,Musa ,M,CU_3957504,164.57,58.817,07-03-18,Information Systems Manager,0,1.0,1,,A,A
387,Gertz,Bob,M,CU_7406337,178.49,57.823,05-23-18,Office Assistant II,0,1.0,1,,A,A
388,Hackley,Dilan ,M,CU_8389374,175.06,22.696,05-09-18,Human Resources Assistant IV,0,1.0,1,,,A
389,Kreis,Lukas ,M,CU_1905412,119.23,38.608,03-07-18,Help Desk Operator,0,1.0,1,,,A
390,Lamorella,Tegan ,F,CU_6140676,215.79,64.652,02-16-18,Office Assistant II,0,,1,,,A
391,Mallicoat,Zayne ,M,CU_5425925,148.41,46.166,04-08-18,Senior Sales Associate,0,1.0,1,,A,A
392,Colasanti,Noreen,F,CU_3539720,158.39,55.988,10-23-18,Senior Sales Associate,0,1.0,1,,A,A
393,Fiorini,Sherman,M,CU_9075466,388.33,60.183,12-28-18,Human Resources Assistant IV,0,,1,,,A
394,Lorton,Franky ,M,CU_2368269,105.62,47.134,04-03-18,Senior Editor,0,1.0,1,,A,A
395,Reuter,Ayrton ,M,CU_1102608,137.8,28.722,11-17-18,Junior Executive,0,1.0,1,,A,A
396,Mcgrane,Amelie ,F,CU_3724048,269.89,,03-21-18,VP Product Management,0,1.0,1,,,A
397,Guerrazzi,Aran ,M,CU_7199504,83.69,61.647,10-01-18,Senior Sales Associate,0,1.0,1,,A,A
398,Haverstick,Yuvraj ,M,CU_6189846,117.25,56.887,07-22-18,VP Product Management,1,,1,,,A
399,Kaleel,Hal,M,CU_3369752,677.05,,03-04-18,Director of Sales,0,,1,,A,A
400,Worthington,Hazel,F,CU_5786392,299.9,,05-18-18,Senior Editor,0,,1,,A,A
401,Liebermann,Gary,M,CU_4254491,159.91,40.151,05-10-18,,1,,1,,,A
402,Metelus,Joesph,M,CU_4797211,432.02,64.086,11-10-18,Human Resources Assistant IV,1,1.0,1,,,A
403,Arnaudet,Sheri,F,CU_7602974,137.12,70.791,01-06-18,,0,,1,,A,A
404,Nuhfer,Donald,M,CU_9636638,176.47,58.349,09-16-18,Office Assistant II,0,1.0,1,,A,A
405,Inscore,Rosa,F,CU_5616416,289.8,,10-28-18,,0,1.0,1,,,A
406,Wollen,Janet,F,CU_1909537,184.37,29.947,10-11-18,,0,,1,,A,A
407,Cryder,Madeleine,F,CU_7281443,169.78,51.015,06-02-18,Help Desk Operator,0,1.0,1,,,A
408,Chapmon,Mohsin ,M,CU_7873316,152.62,40.69,01-24-18,Senior Editor,0,1.0,1,,,A
409,Claypool,Arun ,M,CU_1452838,146.46,35.035,02-02-18,Human Resources Manager,0,1.0,1,,A,A
410,Litchard,Conor ,M,CU_4526886,117.8,37.817,03-18-18,Office Assistant II,0,1.0,1,,,A
411,Palmertree,Elvis,M,CU_2390828,192.04,33.646,05-23-18,Sales Associate,0,1.0,1,,,A
412,Bormet,Ike,M,CU_2626349,160.8,64.857,06-30-18,Sales Associate,1,1.0,1,,,A
413,Mcvaigh,Tracey,F,CU_8434481,256.46,49.696,08-11-18,Data Coordiator,0,1.0,1,,,A
414,Machold,Saif ,M,CU_5909298,202.63,59.859,10-24-18,Senior Editor,0,1.0,1,,A,A
415,Roscorla,Tristan,M,CU_8557365,145.79,28.764,12-25-18,Senior Editor,0,1.0,1,,A,A
416,Bitsko,Bianka ,F,CU_5303094,705.43,56.95,06-18-18,Office Assistant II,0,1.0,1,,A,A
417,Cadden,Kelley,M,CU_7486265,137.49,25.006,07-25-18,Senior Editor,0,1.0,1,,A,A
418,Vugteveen,Vivienne ,F,CU_8090429,194.0,56.973,12-11-18,Sales Associate,0,1.0,1,,,A
419,Massei,Mac,M,CU_4041534,122.39,32.279,10-26-18,Senior Sales Associate,0,1.0,1,,A,A
420,Stoney,Keri,F,CU_7990091,158.15,61.986,12-05-18,Senior Sales Associate,0,1.0,1,,,A
421,Tejera,Kay ,F,CU_3535694,157.73,35.539,10-24-18,,0,,1,,,A
422,Rhue,Rey,M,CU_2401103,191.57,64.118,01-28-18,Office Assistant II,0,1.0,1,,,A
423,Mcconaghy,Oisin ,M,CU_3386192,225.33,49.989,01-08-18,Help Desk Operator,0,1.0,1,,A,A
424,Nusz,Amrit ,F,CU_3033940,219.4,59.672,02-10-18,,1,1.0,1,,A,A
425,Klickman,Jackson,M,CU_8581973,175.77,44.247,02-09-18,Senior Sales Associate,0,1.0,1,,A,A
426,Bunselmeyer,Haiden ,M,CU_4993877,104.26,58.097,01-24-18,Help Desk Operator,0,,1,,,A
427,Spackman,Mackenzie ,M,CU_4293461,157.3,55.828,05-18-18,Senior Editor,0,1.0,1,,,A
428,Wenthold,Raymundo,M,CU_5849944,136.03,,12-22-18,Office Assistant II,0,1.0,1,,,A
429,Latzka,Billie,M,CU_2704217,142.0,36.195,02-17-18,,0,1.0,1,,A,A
430,Cabag,Barnaby ,M,CU_6161244,145.63,,08-22-18,Senior Sales Associate,1,1.0,1,,A,A
431,Walkins,Scot,M,CU_3996511,150.08,53.735,06-19-18,Junior Executive,1,1.0,1,,A,A
432,Brede,Sarina ,F,CU_5591904,156.33,35.233,08-01-18,Senior Editor,0,1.0,1,,A,A
433,Limage,Abdirahman ,M,CU_4561765,143.43,60.137,04-11-18,Help Desk Operator,0,1.0,1,,A,A
434,Balmaceda,Armando,M,CU_8061798,140.52,32.271,11-29-18,VP Product Management,0,1.0,1,,A,A
435,Wheelis,Ben ,M,CU_6189925,46.6,46.16,10-26-18,Human Resources Manager,1,1.0,1,,,A
436,Lagares,Mitchel,M,CU_7951208,163.4,56.878,08-30-18,Assistant Professor,0,1.0,1,,A,A
437,Whitsel,Garth,M,CU_6968174,161.6,,10-05-18,Information Systems Manager,0,1.0,1,,,A
438,Tackitt,Neil ,M,CU_8786798,242.04,61.615,12-15-18,Senior Sales Associate,1,,1,,,A
439,Overshiner,Lynn,M,CU_9087858,197.13,,02-26-18,Analyst Programmer,1,1.0,1,,A,A
440,Baca,Reginald ,M,CU_7973747,161.56,56.512,04-28-18,Help Desk Operator,0,1.0,1,,A,A
441,Murayama,Parker ,M,CU_8975220,146.01,38.295,06-10-18,Senior Sales Associate,1,1.0,1,,A,A
442,Carlton,Seth ,M,CU_5786485,113.05,50.448,12-24-18,Senior Editor,0,1.0,1,,,A
443,Gadway,Ava ,F,CU_7080823,243.04,55.352,01-10-18,Senior Editor,0,1.0,1,,A,A
444,Freedland,Nikhil ,M,CU_7412599,76.69,58.314,08-21-18,Help Desk Operator,0,1.0,1,,A,A
445,Challender,Toney,M,CU_3033978,191.32,60.03,04-13-18,Office Assistant II,0,1.0,1,,,A
446,Moskwa,Simone,F,CU_1649532,143.34,,10-23-18,Senior Sales Associate,0,1.0,1,,A,A
447,Ohanesian,Arya ,M,CU_5538685,166.39,,12-10-18,Office Assistant II,0,1.0,1,,A,A
448,Sundblad,Isra ,F,CU_4434812,204.19,38.015,04-10-18,Help Desk Operator,0,1.0,1,,A,A
449,Rossa,Israel ,M,CU_9991043,73.44,59.831,09-10-18,Office Assistant II,0,1.0,1,,,A
450,Dorner,Christian,M,CU_1477512,391.67,22.3,09-08-18,Senior Editor,1,1.0,1,,,A
451,Cookus,Cheryl,F,CU_3853195,143.85,38.446,11-21-18,Sales Associate,0,1.0,1,,,A
452,Egge,Meredith ,F,CU_4922255,98.93,27.924,10-26-18,VP Product Management,0,1.0,1,,A,A
453,Fratercangelo,Aston ,M,CU_5849999,139.08,63.204,02-13-18,Senior Editor,1,1.0,1,,A,A
454,Ranweiler,Jeremy ,M,CU_2911121,99.54,38.791,06-26-18,Sales Associate,0,1.0,1,,,A
455,Feith,Bailey ,F,CU_1123219,428.81,,12-03-18,Senior Sales Associate,1,1.0,1,,,A
456,Vigoren,Federico,M,CU_6316948,137.02,37.413,02-01-18,Senior Sales Associate,0,1.0,1,,,A
457,Archambault,Bud,M,CU_3857302,164.75,57.373,10-23-18,Senior Sales Associate,0,1.0,1,,A,B
458,Cattano,Chris ,M,CU_2638744,150.94,59.07,01-21-18,Help Desk Operator,0,1.0,1,,,A
459,Rathbum,Orval,M,CU_2544537,114.91,32.696,04-12-18,Senior Editor,1,1.0,1,,A,A
460,Mccreedy,Johnathan ,M,CU_8018840,416.64,38.948,06-09-18,Information Systems Manager,0,1.0,1,,A,A
461,Frazey,Nieve ,F,CU_9186203,345.5,58.18,08-17-18,,1,,1,,,A
462,Lofft,Aled ,M,CU_4428697,77.49,,04-08-18,Help Desk Operator,0,1.0,1,,,A
463,Nadoff,Johnny,M,CU_6400922,70.79,60.435,02-09-18,,0,1.0,1,,A,A
464,Kaune,Jeanette,F,CU_2833308,104.95,,05-15-18,,0,1.0,1,,,A
465,Hubner,Devin,M,CU_8792986,162.42,68.082,05-21-18,,1,,1,,,A
466,Tustison,Rolf,M,CU_1698721,215.96,46.976,11-29-18,Office Assistant II,0,,1,,A,A
467,Bousman,Tommie,F,CU_1708964,123.41,60.808,12-18-18,Help Desk Operator,1,1.0,1,,A,A
468,Izaquirre,Abdur ,M,CU_2251684,174.24,41.918,03-26-18,Senior Editor,1,1.0,1,,A,A
469,Welsch,Zaynah ,F,CU_3619753,146.99,58.055,02-23-18,Human Resources Manager,0,1.0,1,,A,A
470,Bohnenblust,Jake ,M,CU_7097258,177.35,71.007,12-16-18,Senior Editor,1,1.0,1,,A,A
471,Tappen,Maya ,F,CU_8514475,165.03,57.652,02-08-18,Sales Associate,0,1.0,1,,A,A
472,Carathers,Rich,M,CU_5154736,132.04,36.043,07-06-18,Senior Sales Associate,0,,1,,,A
473,Bolins,Ambrose,M,CU_3419057,164.89,36.41,08-08-18,Help Desk Operator,0,,1,,A,A
474,Zahner,Jay ,M,CU_7437236,154.81,70.171,09-11-18,Senior Editor,0,,1,,A,A
475,Misura,Harvey,M,CU_9526197,268.84,56.774,11-16-18,Senior Editor,0,,1,,A,A
476,Wah,Leland,M,CU_9907126,154.5,59.198,01-30-18,Senior Editor,1,1.0,1,,,A
477,Dreese,Lazaro,M,CU_2010040,138.65,,04-27-18,Senior Sales Associate,1,1.0,1,,A,A
478,Marinaccio,Arya ,F,CU_5452729,131.82,39.949,10-12-18,Senior Editor,1,,1,,,A
479,Taibl,Jose ,M,CU_4187069,124.6,,10-04-18,Senior Sales Associate,0,1.0,1,,,A
480,Lund,Milly ,F,CU_3849152,114.89,56.957,02-28-18,Senior Sales Associate,1,1.0,1,,,A
481,Huckabaa,Teddie ,M,CU_9296833,175.47,58.423,10-09-18,Help Desk Operator,0,,1,,,A
482,Thoeny,Rayan ,F,CU_2235330,183.54,43.862,04-01-18,Analyst Programmer,0,,1,,A,A
483,Johngrass,Roxanne,F,CU_5508034,181.63,38.61,10-23-18,,0,1.0,1,,,A
484,Nesselrodt,Colin ,M,CU_8543170,147.67,28.975,10-17-18,Senior Sales Associate,0,1.0,1,,,A
485,Munns,Cruz,M,CU_8612805,243.94,29.967,01-08-18,Senior Sales Associate,1,1.0,1,,,A
486,Wintersteen,Jenna,F,CU_1971143,256.77,57.465,08-14-18,Office Assistant II,0,1.0,1,,A,A
487,Brenes,Gethin ,M,CU_2311117,175.47,47.542,12-19-18,Data Coordiator,1,,1,,,A
488,Barrero,Jules,M,CU_2067407,106.67,55.901,12-12-18,Data Coordiator,0,1.0,1,,A,A
489,Cambric,Napoleon,M,CU_8811475,145.27,59.723,06-29-18,Senior Sales Associate,1,1.0,1,,,A
490,Slauson,Marianne,F,CU_9522134,97.09,42.153,05-08-18,Senior Sales Associate,0,1.0,1,,A,A
491,Wash,Laiba ,F,CU_1676247,134.54,59.211,12-08-18,VP Product Management,0,1.0,1,,,A
492,Dimiceli,Jensen ,M,CU_9511897,483.38,38.99,05-16-18,Senior Sales Associate,0,1.0,1,,A,A
493,Seip,Alan,M,CU_8535003,130.41,57.456,06-07-18,Help Desk Operator,0,1.0,1,,,A
494,Padiong,Hanna ,F,CU_8391649,139.93,27.898,05-03-18,Senior Sales Associate,0,,1,,,A
495,Malan,Earl,M,CU_1907682,123.75,67.64,04-11-18,Analyst Programmer,1,1.0,2,,A,C
496,Boom,Corey ,M,CU_4969449,125.26,35.148,03-09-18,Senior Editor,1,1.0,1,,A,A
497,Mensch,Robin,M,CU_8139755,84.94,59.308,07-20-18,Help Desk Operator,0,1.0,1,,,A
498,Magnia,Marie ,F,CU_1203184,285.74,26.703,11-22-18,Office Assistant II,0,1.0,1,,A,A
499,Jappa,Tate ,M,CU_3267568,210.31,38.147,11-25-18,Senior Sales Associate,0,1.0,1,,A,A
500,Ahumada,Moshe,M,CU_6497268,159.23,55.669,01-29-18,Senior Sales Associate,0,1.0,1,,A,A
501,Seifts,Olivia ,F,CU_7887866,136.03,38.665,09-15-18,Office Assistant II,0,,1,,,A
502,Dozal,Jacinto,M,CU_3859451,129.63,,08-05-18,Analyst Programmer,0,1.0,1,,,A
503,Pelyo,Zachariah ,M,CU_6894588,248.0,,11-19-18,Senior Editor,1,1.0,1,,,A
504,Garczynski,Reilly ,M,CU_6280194,158.14,35.399,02-17-18,Help Desk Operator,0,1.0,1,,,A
505,Heron,Cassius ,M,CU_5338120,116.47,,04-25-18,Help Desk Operator,0,1.0,1,,,A
506,Alers,Pranav ,M,CU_5749772,121.98,,04-05-18,Senior Editor,0,,1,,A,A
