surname,forename,gender,id,balance,age,start,profession,online,single num,weight_num,null,single cat,weight_cat
Naguin,Warren ,M,CU_3770084,158.33,,11-03-18,Assistant Manager,0.0,1.0,1,,,A
Brierly,Emma,F,CU_5670631,155.98,29.563,04-08-18,Design Engineer,,1.0,1,,,A
Guadagno,Tianna ,F,CU_8062695,143.82,55.526,01-25-18,Software Engineer IV,,1.0,1,,,A
Murders,Solomon,M,CU_9078506,130.5,55.102,01-29-18,,0.0,1.0,1,,,A
Mayne,Manual,M,CU_6645484,103.95,44.428,05-18-18,Assistant Manager,0.0,1.0,1,,,A
Kuiper,Ted ,M,CU_9463532,217.97,,04-27-18,Software Engineer IV,0.0,1.0,1,,,A
Land,Olaf ,M,CU_2574061,90.95,53.662,11-28-18,Software Engineer IV,0.0,,1,,A,A
Harvie,August,M,CU_2123500,374.69,46.074,11-12-18,Data Coordiator,0.0,1.0,1,,A,A
Decent,Darwin,M,CU_8873712,136.86,48.497,04-13-18,Software Engineer IV,,1.0,1,,,A
Cisneros,Carrie,F,CU_4605679,197.95,53.008,10-13-18,,1.0,,1,,A,A
Hirsche,Hector,M,CU_5850863,375.69,45.356,01-25-18,Structural Engineer,0.0,1.0,1,,,A
Diefenbach,Millard,M,CU_6571765,163.07,,01-22-18,Data Coordiator,1.0,1.0,1,,,A
Benzschawel,Beth ,F,CU_4613878,106.39,50.88,08-15-18,Assistant Manager,0.0,1.0,1,,A,A
Teagle,Dane,M,CU_9291511,91.97,47.201,02-27-18,Software Engineer IV,0.0,1.0,1,,,A
Monie,Bret,M,CU_1525496,168.77,39.78,07-23-18,Senior Sales Associate,0.0,1.0,1,,,B
Ledsome,Sam ,M,CU_1337082,121.52,,09-30-18,,0.0,1.0,1,,,A
Zaiser,Marty,M,CU_6170362,138.33,,02-03-18,Data Coordiator,0.0,1.0,1,,,A
Oney,Rebekah ,F,CU_4556540,138.77,57.109,05-25-18,Senior Sales Associate,0.0,,1,,,A
Hnyda,Arman ,M,CU_5441277,788.12,38.895,01-19-18,Data Coordiator,,1.0,1,,A,A
Darlington,Darcy ,F,CU_9185022,128.41,56.306,11-19-18,Assistant Manager,0.0,1.0,1,,,A
Yacoub,Russ,M,CU_1386237,260.9,51.724,12-20-18,Assistant Manager,1.0,,1,,A,A
Dalfonso,Rhonda,F,CU_7055106,131.35,28.652,04-12-18,Software Engineer IV,0.0,1.0,1,,A,A
Bullington,Octavio,M,CU_3712771,249.31,21.284,08-01-18,Software Engineer IV,,,1,,A,A
Kaplun,Zachary ,M,CU_5408516,103.23,26.469,09-26-18,Computer Systems Analyst II,,,1,,A,A
Jubic,Melody ,F,CU_9447174,349.04,48.364,04-24-18,Librarian,,1.0,1,,,A
Tiley,Brenda ,F,CU_6956807,249.54,57.369,10-09-18,Data Coordiator,0.0,1.0,1,,,A
Bordges,Waylon,M,CU_2942728,271.62,38.029,02-28-18,,1.0,1.0,1,,A,A
Frueh,Hector ,M,CU_3409672,182.41,22.649,09-08-18,Software Engineer IV,0.0,1.0,1,,A,A
Macer,Phillip,M,CU_3385095,146.12,29.006,11-08-18,,1.0,,1,,A,A
Magers,Grace ,F,CU_5179143,112.94,40.889,08-21-18,Assistant Manager,1.0,1.0,1,,A,A
Boller,Kaja ,F,CU_7825166,135.0,41.44,01-09-18,Actuary,,1.0,1,,,A
Hosack,Reegan ,M,CU_4564752,289.29,36.711,12-12-18,Payment Adjustment Coordinator,0.0,1.0,1,,A,A
Azzarella,Malachy ,M,CU_8718096,106.15,35.174,07-07-18,,0.0,1.0,1,,A,A
Belvees,Theodore,M,CU_3139350,266.65,36.573,06-15-18,Assistant Manager,0.0,1.0,1,,,A
Golberg,Frederick,M,CU_8636183,92.07,58.301,10-27-18,Senior Sales Associate,,1.0,1,,A,A
Raymo,Brayden ,M,CU_2590493,86.42,58.622,11-18-18,Senior Sales Associate,0.0,1.0,1,,A,A
Factor,Remi ,M,CU_2205470,432.46,66.972,10-02-18,Safety Technician IV,0.0,,1,,A,A
Lowrimore,Euan ,M,CU_2008864,145.12,,08-20-18,,0.0,,1,,,A
Stubler,Suzanne,F,CU_3417888,166.87,58.898,12-12-18,Assistant Manager,0.0,,1,,,A
Carilli,King,M,CU_3196708,114.33,58.862,09-21-18,Payment Adjustment Coordinator,1.0,1.0,1,,A,A
Wynne,Gregorio,M,CU_8767269,314.15,57.214,07-21-18,Software Engineer IV,0.0,1.0,1,,,A
Edem,Johnny,M,CU_7391015,384.78,48.103,10-11-18,Software Engineer IV,0.0,1.0,1,,A,A
Stumme,Lennon ,M,CU_8316711,79.48,36.168,07-26-18,Computer Systems Analyst II,,1.0,1,,A,A
Moling,Beatriz ,F,CU_7104298,173.51,31.336,06-18-18,,0.0,1.0,1,,,A
Delagrange,Dominic,M,CU_3385131,123.78,36.766,02-08-18,Payment Adjustment Coordinator,0.0,1.0,1,,,A
Schwartzkopf,Archie ,M,CU_6489901,234.47,33.321,10-08-18,Assistant Manager,,1.0,1,,,A
Pignone,Reinaldo,M,CU_6899502,88.68,66.389,03-24-18,Software Engineer IV,,1.0,1,,,A
Abatti,Alana ,F,CU_5375794,186.34,25.415,03-25-18,Data Coordiator,0.0,,1,,A,A
Gottardo,Franklin ,M,CU_2647860,145.35,63.547,03-10-18,Software Engineer IV,1.0,1.0,1,,A,A
Rodrigez,Ian,M,CU_7292729,188.49,63.711,06-21-18,Data Coordiator,0.0,1.0,1,,,A
Chall,Jackson,M,CU_4450106,268.0,61.458,08-21-18,Design Engineer,,1.0,1,,A,A
Makara,Taliyah ,F,CU_9250622,174.37,38.08,10-14-18,Payment Adjustment Coordinator,0.0,1.0,1,,A,A
Postlewaite,Melba,F,CU_3876672,460.92,22.57,07-21-18,Software Engineer IV,0.0,,1,,A,A
Moessner,Lilian ,F,CU_5261122,214.32,22.252,01-03-18,,0.0,1.0,1,,,A
Kurtich,Esa ,M,CU_2279235,177.62,29.477,10-26-18,,0.0,1.0,1,,,A
Blount,Kenneth,M,CU_1484612,199.64,,10-14-18,Senior Sales Associate,0.0,1.0,1,,A,A
Serrell,Sylvia,F,CU_8718149,204.64,,11-03-18,Librarian,1.0,1.0,1,,A,A
Tram,Jayson,M,CU_3278661,313.68,56.465,08-06-18,Sales Associate,0.0,1.0,1,,,A
Lytal,Emilia,F,CU_9119558,133.37,42.475,04-03-18,,0.0,,1,,A,A
Finer,Patricia,M,CU_8406856,135.53,,03-30-18,Payment Adjustment Coordinator,0.0,1.0,1,,,A
Monteros,Karl,M,CU_4319049,192.22,48.044,04-26-18,Payment Adjustment Coordinator,,1.0,1,,A,A
Munchmeyer,Paige,F,CU_4056905,163.44,45.389,12-01-18,Data Coordiator,1.0,,1,,A,B
Nicolaisen,Tyrell ,M,CU_5523276,234.78,,08-01-18,,0.0,1.0,1,,,A
Vanleer,Luqman ,M,CU_7948109,188.79,30.643,05-31-18,Information Systems Manager,0.0,1.0,1,,,A
Branner,Lucas,M,CU_5162833,152.76,37.165,05-23-18,Information Systems Manager,0.0,1.0,1,,A,A
Bonnoitt,Dean ,M,CU_7628627,334.85,55.774,12-12-18,Software Engineer IV,,1.0,1,,A,A
Pierzchala,Maira ,F,CU_7784276,177.93,58.38,01-09-18,Senior Sales Associate,0.0,1.0,1,,,A
Mynatt,Bill,M,CU_5056341,159.69,51.512,07-31-18,Assistant Manager,,1.0,1,,,A
Delosh,Alina ,F,CU_4556632,377.0,38.645,02-10-18,Payment Adjustment Coordinator,,1.0,1,,A,A
Maler,Mitchell ,M,CU_6891356,64.23,,01-13-18,Assistant Manager,0.0,1.0,1,,,A
Gordon,Rupert ,M,CU_2139997,134.69,47.015,09-27-18,Assistant Manager,,1.0,1,,,A
Goldrick,Ariana ,F,CU_2393948,172.8,42.394,01-22-18,Data Coordiator,,1.0,1,,,A
Annarumo,Meghan,F,CU_5162847,146.78,54.728,08-06-18,Sales Associate,,1.0,1,,,A
Brandis,Ruby,F,CU_4933473,263.91,41.299,05-04-18,Software Engineer IV,1.0,1.0,1,,A,A
Huttar,Brandon,M,CU_9701217,260.97,64.015,08-17-18,Statistician III,0.0,,1,,,A
Critz,Georgia,F,CU_4695908,137.68,59.478,08-07-18,Software Engineer IV,0.0,1.0,1,,A,A
Goffney,Renaldo,M,CU_9791334,48.9,33.13,02-02-18,Assistant Manager,0.0,,1,,A,A
Brader,Tamara ,F,CU_5637991,255.65,47.816,10-20-18,Actuary,0.0,1.0,1,,A,A
Zeh,Jeramy,M,CU_1148776,120.07,,09-22-18,Computer Systems Analyst II,0.0,1.0,1,,A,A
Stagliano,Quinton,M,CU_2811751,40.0,55.474,12-13-18,Assistant Manager,0.0,1.0,1,,,A
Kosuta,Damian ,M,CU_9996135,115.98,33.093,01-30-18,Software Engineer IV,1.0,,1,,A,A
Tarasuik,Anthony ,M,CU_7645031,98.79,64.855,02-13-18,Software Engineer IV,0.0,,1,,,A
Genetti,Yisroel ,M,CU_8202088,139.13,29.789,11-24-18,Software Engineer IV,0.0,1.0,1,,A,A
Burgan,Eddy,M,CU_1247085,329.13,62.347,07-10-18,Sales Associate,0.0,1.0,1,,A,A
Holtberg,Rashad,M,CU_3278705,168.44,59.5,11-30-18,Data Coordiator,0.0,1.0,1,,A,A
Mcwethy,Fallon ,F,CU_7571319,128.28,,09-03-18,Structural Engineer,0.0,1.0,2,,A,C
Bareford,Rita ,F,CU_8693624,247.45,,01-30-18,Payment Adjustment Coordinator,1.0,1.0,1,,A,A
Lavalais,Aurelia ,F,CU_9881466,155.35,74.201,06-14-18,Assistant Manager,0.0,1.0,1,,A,A
Zellars,Eden ,M,CU_9447290,78.92,33.358,07-15-18,Payment Adjustment Coordinator,0.0,1.0,1,,A,A
Nibler,Donovan,M,CU_4491132,155.73,62.361,08-12-18,Information Systems Manager,,1.0,1,,,A
Flannigan,Lenora,F,CU_5687164,107.07,61.448,01-04-18,Software Engineer IV,,,1,,A,A
Mower,Kyle,M,CU_8111998,152.13,48.899,06-20-18,Assistant Manager,0.0,1.0,1,,,A
Zamparini,Jarrett,M,CU_3090303,172.68,56.29,08-31-18,Librarian,,,1,,,A
Arisa,Gideon ,M,CU_3934080,131.04,24.205,01-07-18,Assistant Manager,0.0,,1,,A,A
Lessa,Walton,M,CU_7718780,95.66,57.337,04-17-18,Safety Technician IV,,1.0,1,,A,A
Rothweiler,Nicole ,F,CU_8980356,165.99,64.561,06-22-18,Assistant Manager,1.0,,1,,A,A
Mccollum,Rico,M,CU_5367685,68.7,63.916,10-21-18,Senior Sales Associate,0.0,1.0,1,,A,A
Chesanek,Taran ,M,CU_7456645,232.39,34.795,11-20-18,Software Engineer IV,0.0,1.0,1,,A,A
Gaut,Edgar ,M,CU_5834629,163.88,28.714,10-04-18,Social Worker,,1.0,1,,,A
Muhn,Angelita,F,CU_7653258,352.24,24.47,03-07-18,Payment Adjustment Coordinator,,1.0,1,,A,A
Gulledge,Elijah ,M,CU_7669643,159.98,55.062,01-11-18,Assistant Manager,0.0,1.0,1,,,A
Abood,Bert,M,CU_9799564,691.85,59.836,07-28-18,Payment Adjustment Coordinator,0.0,1.0,1,,A,A
Mcmina,Sheree,F,CU_5572493,135.6,27.119,06-01-18,Data Coordiator,,1.0,1,,A,A
Begaye,Viktoria ,F,CU_4138892,110.25,32.204,10-26-18,Software Engineer IV,,1.0,1,,A,A
Taras,Jorge,M,CU_2525071,186.16,37.813,03-12-18,Social Worker,1.0,1.0,1,,A,A
Munafo,Arnoldo,M,CU_4581264,131.32,39.118,06-06-18,Assistant Manager,,1.0,1,,A,A
Ramesh,Noah ,M,CU_4835223,132.22,59.247,09-13-18,Senior Sales Associate,0.0,,1,,A,A
Cibula,Esmeralda,F,CU_8357785,147.3,29.278,12-16-18,Senior Sales Associate,,1.0,1,,A,A
Wayner,Parker ,M,CU_8759197,157.8,43.945,01-18-18,Data Coordiator,1.0,,1,,,A
Nordstrom,Collin,M,CU_6399902,127.26,56.097,08-17-18,Payment Adjustment Coordinator,,1.0,1,,A,A
Bodyfelt,Nancy,F,CU_3631008,161.08,20.316,04-24-18,Structural Engineer,0.0,,2,,,C
Valli,Malaika ,F,CU_1230753,139.33,58.106,09-19-18,Data Coordiator,0.0,1.0,1,,A,A
Agee,Ed,M,CU_5056421,183.3,27.69,08-02-18,,1.0,,2,,A,C
Hutchin,Aariz ,M,CU_1189797,135.97,21.809,11-09-18,Payment Adjustment Coordinator,0.0,1.0,1,,A,A
Hensdill,Mehmet ,M,CU_5375909,202.95,61.522,11-01-18,Assistant Manager,0.0,1.0,1,,,A
Posner,Angela,F,CU_6883242,152.59,21.433,09-05-18,Senior Sales Associate,1.0,1.0,1,,,A
Delaglio,Troy ,M,CU_9062315,188.79,,12-30-18,Design Engineer,0.0,1.0,1,,,A
Schwartze,Farhan ,M,CU_8783790,144.92,57.277,07-29-18,Payment Adjustment Coordinator,,1.0,1,,,A
Mesenbrink,Pamela ,F,CU_8103856,267.73,87.779,10-01-18,Software Engineer IV,,1.0,1,,,B
Pius,Jimmie,M,CU_6743985,143.49,64.635,08-03-18,Design Engineer,0.0,1.0,1,,A,A
Delgiudice,Kaila ,F,CU_8824753,144.79,51.866,03-07-18,,0.0,,1,,,A
Tlucek,Bennie,M,CU_8619954,488.14,61.036,03-14-18,Statistician III,0.0,1.0,1,,A,A
Brettschneide,Daniel ,M,CU_9390000,141.11,61.872,01-08-18,,0.0,1.0,1,,,A
Specken,Riley-James ,M,CU_5048245,126.31,39.79,03-18-18,Data Coordiator,,,1,,A,A
Geraldo,Sallie,F,CU_9824185,188.59,,11-03-18,Assistant Manager,0.0,,1,,A,A
Correra,Jonathan,M,CU_4130747,235.39,21.122,11-28-18,,0.0,1.0,1,,,A
Agilar,Jerrod,M,CU_1492925,123.32,63.039,04-27-18,Assistant Manager,0.0,1.0,1,,A,A
Coggsdale,Wilfredo,M,CU_1828798,169.93,46.808,11-24-18,Information Systems Manager,0.0,1.0,1,,A,A
Garguilo,Michael,M,CU_2361288,171.89,,03-27-18,,1.0,1.0,1,,A,A
Thidphy,Elroy,M,CU_4245449,409.73,,11-18-18,Software Engineer IV,0.0,1.0,1,,A,A
Wensel,Chelsey ,F,CU_5367754,150.59,30.518,05-19-18,Software Engineer IV,0.0,1.0,1,,A,A
Tezak,Kaitlin,F,CU_3999690,120.88,41.661,06-20-18,Payment Adjustment Coordinator,,1.0,1,,A,A
Garrean,Niamh ,F,CU_1550280,156.55,50.77,02-26-18,,,,1,,A,A
Weisdorfer,Gail,M,CU_7063502,250.74,42.673,11-28-18,Data Coordiator,0.0,,1,,,A
Mabe,Tillie ,F,CU_9791440,126.39,39.249,07-21-18,Safety Technician IV,0.0,1.0,1,,A,A
Overlie,Minnie,F,CU_7112657,175.65,49.74,10-12-18,Software Engineer IV,0.0,1.0,1,,A,A
Amesquieto,Asha ,F,CU_8390610,156.68,39.676,05-06-18,Software Engineer IV,1.0,1.0,1,,,A
Bockelman,Harriet ,F,CU_3008470,166.94,38.756,05-21-18,Assistant Manager,1.0,1.0,2,,A,C
Kamada,Joey,M,CU_5097431,118.06,51.877,02-26-18,Design Engineer,1.0,1.0,1,,,A
Cornetta,Lyndon,M,CU_7342040,180.23,58.991,08-21-18,Information Systems Manager,0.0,1.0,1,,A,A
Elwell,Ken,M,CU_6449113,135.43,73.952,09-26-18,,0.0,1.0,1,,,A
Camarda,Conrad ,M,CU_4327385,164.9,58.569,08-01-18,Safety Technician IV,0.0,1.0,1,,A,A
Zizza,Reagan ,M,CU_6301659,42.64,,10-12-18,,1.0,1.0,1,,A,A
Kakacek,Zarah ,F,CU_2058204,128.48,36.751,01-03-18,,0.0,1.0,1,,,A
Dolven,Ronald,M,CU_2738141,95.54,64.095,04-16-18,Assistant Manager,0.0,1.0,1,,,A
Brummond,Angeline,F,CU_4327388,112.88,30.82,09-12-18,Structural Engineer,,1.0,1,,,A
Nicole,Jc,M,CU_9643995,133.92,59.33,03-01-18,,1.0,,1,,A,A
Mcgurl,Misha ,F,CU_3442658,172.46,57.22,05-09-18,Computer Systems Analyst II,0.0,1.0,1,,A,A
Liou,Albie ,M,CU_6907874,144.52,,03-01-18,Software Engineer IV,0.0,1.0,1,,A,A
Shadazz,Bridgett,F,CU_8529895,146.43,32.01,12-16-18,Software Engineer IV,,1.0,1,,A,A
Buchheim,Edward ,M,CU_8144876,167.37,47.776,12-05-18,Data Coordiator,0.0,1.0,1,,,A
Exel,Earle,M,CU_2949116,184.43,58.51,08-31-18,Software Engineer IV,,1.0,1,,,A
Beyl,Brian ,M,CU_6858732,135.86,60.023,09-19-18,Software Engineer IV,,1.0,1,,,A
Hansbrough,Princess ,F,CU_6268911,186.58,58.035,06-16-18,,0.0,,1,,A,A
Crozat,Nihal ,M,CU_1550324,162.05,,12-29-18,Software Engineer IV,0.0,1.0,1,,A,A
Maritnez,Mitchell,M,CU_8710133,134.6,31.268,11-28-18,Actuary,0.0,1.0,1,,A,A
Hujer,Carol,F,CU_9578487,153.65,,05-17-18,Software Engineer IV,0.0,,1,,,A
Ianniello,Luka ,M,CU_5859326,41.52,55.599,09-27-18,Information Systems Manager,,1.0,1,,A,A
Grajeda,Sterling,M,CU_2680830,165.41,55.524,07-19-18,Senior Sales Associate,1.0,,1,,,A
Defir,Marlon,M,CU_5195783,63.23,23.175,05-23-18,Assistant Manager,0.0,1.0,1,,A,A
Grulkey,Yousuf ,M,CU_6825991,165.56,23.01,12-15-18,,0.0,1.0,1,,,A
Fullman,Cian ,M,CU_7809034,298.43,46.765,05-08-18,Safety Technician IV,0.0,1.0,1,,A,A
Fluharty,Zoha ,F,CU_9046029,466.76,38.096,12-30-18,Information Systems Manager,0.0,1.0,1,,,A
Sibbald,Natalia,F,CU_3549198,73.84,70.875,11-10-18,Assistant Manager,,1.0,1,,,A
Sandholm,Marilyn,F,CU_7088142,136.34,35.318,04-27-18,Design Engineer,1.0,1.0,1,,A,A
Howey,Inaaya ,F,CU_7456784,250.48,21.228,07-04-18,Software Engineer IV,1.0,1.0,1,,A,A
Grobstein,Kuba ,M,CU_1574930,88.29,,04-19-18,Data Coordiator,0.0,1.0,1,,A,A
Puzio,Woodrow,M,CU_9701395,122.26,,11-18-18,Software Engineer IV,0.0,1.0,1,,,A
Posson,Nanette,F,CU_6219794,128.94,36.449,06-24-18,Payment Adjustment Coordinator,,1.0,1,,,A
Emmel,Mayra,F,CU_8169493,484.93,42.498,05-17-18,,,1.0,1,,A,A
Heberling,Edgar,M,CU_3966995,124.97,42.838,01-19-18,Data Coordiator,0.0,1.0,1,,A,A
Hanify,Odis,M,CU_5679128,121.01,62.528,04-13-18,Payment Adjustment Coordinator,0.0,1.0,1,,A,A
Woelfel,Kameron ,M,CU_2713626,181.24,37.379,08-02-18,Assistant Manager,0.0,1.0,1,,A,A
Flagiello,Jayne,F,CU_1083418,66.85,58.558,09-24-18,Software Engineer IV,1.0,1.0,1,,A,A
Guilfoil,Kingsley ,M,CU_9431067,111.68,,07-05-18,Payment Adjustment Coordinator,1.0,1.0,1,,A,A
Geltz,Tammie,F,CU_7104538,143.36,39.199,09-02-18,Senior Sales Associate,1.0,1.0,1,,A,A
Dominga,Abraham ,M,CU_7972894,140.01,54.229,05-10-18,Information Systems Manager,,1.0,1,,,A
Gowler,Leandro ,M,CU_1443866,386.89,55.46,02-16-18,Software Engineer IV,,,1,,,A
Aytes,Hudson ,M,CU_9922592,149.0,44.612,07-16-18,Software Engineer IV,,1.0,1,,A,A
Viniard,Kendra,F,CU_7833632,151.9,31.518,05-07-18,Assistant Manager,0.0,,1,,A,A
Geisen,Lorrie,F,CU_1017889,400.23,69.606,01-24-18,Actuary,0.0,1.0,1,,A,A
Maita,Mariella ,F,CU_2074659,218.98,35.39,09-08-18,Assistant Manager,0.0,1.0,1,,A,A
Deeds,Mel,M,CU_2099236,185.75,57.52,02-26-18,Payment Adjustment Coordinator,0.0,1.0,2,,A,C
Seaman,Aleena ,F,CU_6973475,166.95,,10-21-18,Payment Adjustment Coordinator,0.0,1.0,1,,A,A
Cano,Theo ,M,CU_6416422,170.68,37.993,06-16-18,Payment Adjustment Coordinator,1.0,1.0,1,,,A
Caivano,Dino,M,CU_9062438,110.21,,05-30-18,Information Systems Manager,,,1,,A,A
Stever,Grayson ,M,CU_1017896,124.97,48.945,10-23-18,Safety Technician IV,0.0,1.0,1,,A,A
Mcglinchey,Maja ,F,CU_2377769,163.58,,04-07-18,Payment Adjustment Coordinator,,1.0,1,,A,A
Dalere,Jules,M,CU_7465003,226.02,51.964,02-05-18,Software Engineer IV,0.0,1.0,1,,A,A
Horrocks,Lincoln,M,CU_4802603,143.17,26.833,12-23-18,Assistant Manager,0.0,1.0,1,,,A
Visvardis,Rolland,M,CU_3647535,159.4,58.195,07-26-18,Payment Adjustment Coordinator,0.0,,1,,A,A
Remmers,Emilio,M,CU_5941296,122.78,70.265,06-24-18,,1.0,1.0,1,,A,A
Barela,Josh ,M,CU_8079408,131.37,44.239,07-05-18,Software Engineer IV,1.0,1.0,1,,A,A
Arlotta,Melissa ,F,CU_8366131,173.0,60.029,01-08-18,,1.0,1.0,2,,A,C
Thompkins,Ferdinand,M,CU_8906810,103.51,74.337,10-25-18,Software Engineer IV,,1.0,1,,,A
Lant,Finn ,M,CU_8890428,129.04,26.671,09-15-18,Actuary,,1.0,1,,,A
Turansky,Mercy ,F,CU_1198140,141.6,,04-19-18,Librarian,1.0,1.0,1,,,A
Kur,Kennith,M,CU_9857086,183.2,55.495,01-22-18,Software Engineer IV,0.0,1.0,1,,A,A
Barbalich,Jasmine,F,CU_5564476,117.64,40.198,04-17-18,Assistant Manager,,1.0,1,,A,A
Martes,Macauley ,M,CU_7759932,130.05,,04-17-18,Software Engineer IV,0.0,1.0,1,,A,A
Spenner,Eula,F,CU_4294721,299.99,29.409,11-01-18,Software Engineer IV,0.0,1.0,1,,,A
Brohn,Katerina ,F,CU_8898626,449.04,42.176,08-06-18,Software Engineer IV,0.0,,1,,,A
Corippo,Aurora,F,CU_7030851,167.25,,03-13-18,Assistant Manager,0.0,1.0,1,,A,A
Hillard,Tristan,M,CU_4368453,299.32,28.564,02-12-18,Statistician III,0.0,1.0,1,,,A
Sarvey,Harrison,M,CU_2230343,167.1,30.717,10-14-18,Social Worker,,1.0,1,,A,A
Andruszkiewic,Amy ,F,CU_9562183,169.38,38.777,10-08-18,Assistant Manager,0.0,,1,,,A
Cabellero,Blaine,M,CU_3680327,178.24,56.551,09-21-18,,1.0,1.0,1,,,A
Brownsworth,David,M,CU_9472077,130.48,51.477,11-30-18,Software Engineer IV,,1.0,1,,A,A
Argento,Cole,M,CU_5474382,140.81,37.961,06-05-18,Software Engineer IV,0.0,1.0,1,,A,A
Helferty,Samson ,M,CU_2943055,197.25,30.427,09-13-18,Assistant Manager,0.0,1.0,1,,A,A
Wilhoite,Ivy ,F,CU_5392465,161.9,31.984,07-09-18,,0.0,1.0,1,,A,A
Ferko,Elbert,M,CU_5490770,100.21,37.346,08-25-18,Software Engineer IV,0.0,,1,,A,A
Tannehill,Dianne,F,CU_1755219,147.65,50.99,09-30-18,Senior Sales Associate,0.0,1.0,1,,A,A
Leal,Fathima ,F,CU_7596116,161.68,,09-18-18,Design Engineer,0.0,1.0,1,,A,A
Nazir,Josephine,F,CU_3696726,123.92,64.826,12-25-18,Assistant Manager,0.0,1.0,1,,A,A
Mulder,Taylor ,M,CU_1124446,90.12,58.821,03-30-18,Senior Sales Associate,0.0,1.0,1,,,A
Baril,Harold,M,CU_9365600,175.35,64.043,12-20-18,Structural Engineer,0.0,,1,,A,A
Perretti,Morris,M,CU_6965344,147.43,37.082,07-07-18,Assistant Manager,,1.0,1,,A,A
Jaso,Thomas ,M,CU_3475555,469.41,57.742,03-31-18,Payment Adjustment Coordinator,1.0,1.0,1,,A,A
Clayburn,Maisey ,F,CU_2533480,123.43,82.278,01-11-18,Assistant Manager,,1.0,1,,,A
Wieder,Beatriz,F,CU_5687401,158.17,41.045,08-04-18,,1.0,1.0,1,,A,A
Jezewski,Ella-Grace ,F,CU_5711979,141.74,,12-21-18,Social Worker,,,1,,A,A
Repka,Star ,F,CU_1386604,107.98,35.254,09-14-18,Data Coordiator,1.0,1.0,1,,,A
Tuff,Bilal ,M,CU_5720173,96.47,66.13,02-25-18,Design Engineer,0.0,1.0,1,,A,A
Edmerson,Musa ,M,CU_2140270,173.1,59.608,08-25-18,Information Systems Manager,,,1,,,A
Caracci,Martina ,F,CU_7129198,149.06,44.003,08-22-18,Data Coordiator,0.0,1.0,1,,A,A
Delapp,Anayah ,F,CU_3311728,31.6,27.218,02-21-18,Data Coordiator,,1.0,1,,,A
Frewing,Basil,M,CU_2787441,136.01,60.091,09-18-18,Assistant Manager,,1.0,1,,,A
Ostertag,Reece ,M,CU_7694450,195.0,,04-16-18,Librarian,,1.0,1,,,A
Tear,Orlaith ,F,CU_3090547,163.79,57.025,01-15-18,,0.0,1.0,1,,,A
Fairhurst,Mara,F,CU_9316466,135.34,32.187,11-30-18,Data Coordiator,1.0,1.0,1,,,A
Busacker,Harry,M,CU_5400688,47.43,55.742,11-12-18,Information Systems Manager,0.0,1.0,1,,A,A
Ostrom,Matylda ,F,CU_6637686,385.59,,03-14-18,Assistant Manager,0.0,,1,,A,A
Gillen,Bennett,M,CU_2041968,159.73,49.771,03-13-18,Data Coordiator,0.0,1.0,1,,,A
Pagley,Elvis,M,CU_9341048,167.98,58.616,05-16-18,,0.0,1.0,1,,,A
Rosencranz,Lyra ,F,CU_3459193,317.54,64.415,05-03-18,Payment Adjustment Coordinator,,1.0,1,,,A
Gannett,Karen,F,CU_6137978,147.38,,10-21-18,Computer Systems Analyst II,,,1,,A,A
Sola,Odessa,F,CU_3606653,129.15,30.527,08-18-18,Senior Sales Associate,0.0,1.0,1,,A,A
Coty,Arnold,M,CU_5154943,135.75,54.183,02-14-18,Payment Adjustment Coordinator,0.0,1.0,1,,,A
Ipson,Simeon ,M,CU_9783423,245.69,72.861,01-05-18,Design Engineer,,1.0,1,,A,A
Noakes,Kyron ,M,CU_4663429,96.6,42.708,07-01-18,,0.0,1.0,1,,A,A
Pluck,Esteban,M,CU_2893960,156.13,61.216,05-26-18,Assistant Manager,0.0,1.0,1,,,A
Seymer,Anais ,F,CU_6695049,160.78,41.496,12-06-18,Senior Sales Associate,1.0,,1,,A,A
Marsala,Kasey ,F,CU_9422984,213.32,,03-31-18,Safety Technician IV,0.0,1.0,1,,A,A
Stearne,Rudy ,M,CU_2910346,96.81,50.895,04-06-18,Statistician III,0.0,1.0,1,,A,A
Stallsmith,Sumaiya ,F,CU_4655242,180.1,52.876,10-31-18,Librarian,,1.0,1,,,A
Cabiya,Vivienne ,F,CU_1632397,152.22,27.246,09-19-18,Senior Sales Associate,,1.0,1,,,A
Sterlace,Kurtis,M,CU_9496713,277.75,55.01,04-08-18,Safety Technician IV,,1.0,1,,,A
Manoni,Edwin,M,CU_9242769,137.79,32.611,10-26-18,Senior Sales Associate,,1.0,1,,,A
Balwin,Mark,M,CU_7784594,158.24,71.048,07-13-18,,,1.0,1,,A,A
Sovie,Zayne ,M,CU_6219927,234.04,32.443,08-14-18,Information Systems Manager,0.0,1.0,1,,A,A
Thrower,Marcellus,M,CU_7866520,349.36,,03-28-18,Software Engineer IV,,1.0,1,,A,A
Hamalainen,Franklin,M,CU_3803289,153.19,35.841,12-21-18,Assistant Manager,0.0,1.0,1,,A,A
Fiorica,Johnny ,M,CU_1271962,189.45,27.676,06-17-18,Software Engineer IV,0.0,1.0,1,,,A
Omdahl,Ahmad ,M,CU_4974748,671.66,53.126,07-20-18,Assistant Manager,0.0,1.0,1,,A,A
Kaylo,Warren,M,CU_9848988,84.04,56.487,09-25-18,Social Worker,0.0,1.0,1,,,A
